rank,city,state,estimate_population_2017,census_2018,change,land_area_miles_2016,land_area_km_2016,population_density_miles_2016,population_density_km_2016,city_link,area_codes,county,area_land,gov_mayor,area_metro,gov_type,area_water,about_city,lattitude,longitude,country
200,West Valley City,Utah,136401,129480,+5.35,35.5  ,91.9 ,3847 ,1485,"https://en.wikipedia.org/wiki/West_Valley_City,_Utah",nan,nan,nan,nan,nan,nan,nan, ,40.6885,-112.0118,USA
201,Charleston,South Carolina,136208,120083,+13.43,109.0  ,282.3 ,1233 ,476,"https://en.wikipedia.org/wiki/Charleston,_South_Carolina",area code,counties,• land,• mayor,nan,• type,• water, , 32.817, -79.9590,USA
202,Warren,Michigan,134587,134056,+0.40,34.4  ,89.1 ,3928 ,1517,"https://en.wikipedia.org/wiki/Warren,_Michigan",area code,county,• land,• mayor,nan,• type,• water, , 42.492, -83.0250,USA
203,Hampton,Virginia,134313,137436,−2.27,51.5  ,133.4 ,2629 ,1015,"https://en.wikipedia.org/wiki/Hampton,_Virginia",nan,county,• land,• mayor,• metro,nan,• water, , 37.048, -76.2971,USA
204,Gainesville,Florida,133857,124354,+7.64,62.3  ,161.4 ,2112 ,815,"https://en.wikipedia.org/wiki/Gainesville,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 29.678, -82.3461,USA
205,Visalia,California,133800,124442,+7.52,37.5  ,97.1 ,3495 ,1349,"https://en.wikipedia.org/wiki/Visalia,_California",area code,county,• land,nan,nan,• type,• water, ,36.3273,-119.3289,USA
206,Coral Springs,Florida,133507,121096,+10.25,23.8  ,61.6 ,5465 ,2110,"https://en.wikipedia.org/wiki/Coral_Springs,_Florida",area code,county,• land,nan,nan,• type,• water, , 26.270, -80.2593,USA
207,Columbia,South Carolina,133451,129272,+3.23,133.5  ,345.8 ,1006 ,388,"https://en.wikipedia.org/wiki/Columbia,_South_Carolina",area code,county,• land,• mayor,nan,nan,• water, , 34.029, -80.8980,USA
208,Cedar Rapids,Iowa,133174,126326,+5.42,70.8  ,183.4 ,1852 ,715,"https://en.wikipedia.org/wiki/Cedar_Rapids,_Iowa",area code,county,• land,• mayor,• metro,• type,• water, , 41.967, -91.6778,USA
209,Sterling Heights,Michigan,132964,129699,+2.52,36.5  ,94.5 ,3628 ,1401,"https://en.wikipedia.org/wiki/Sterling_Heights,_Michigan",area code,county,• land,• mayor,nan,• type,• water, , 42.581, -83.0303,USA
210,New Haven,Connecticut,130418,129779,+0.49,18.7  ,48.4 ,6948 ,2683,"https://en.wikipedia.org/wiki/New_Haven,_Connecticut",area code,county,• land,• mayor,• metro,• type,• water, , 41.310, -72.9250,USA
211,Stamford,Connecticut,129775,122643,+5.82,37.6  ,97.4 ,3434 ,1326,"https://en.wikipedia.org/wiki/Stamford,_Connecticut",area code,county,• land,• mayor,• metro,• type,• water, , 41.079, -73.5460,USA
212,Concord,California,129688,122067,+6.24,30.5  ,79.0 ,4221 ,1630,"https://en.wikipedia.org/wiki/Concord,_California",area code,county,• land,• mayor,nan,• type,• water, ,37.9722,-122.0016,USA
213,Kent,Washington,129618,92411,+40.26,33.7  ,87.3 ,3784 ,1461,"https://en.wikipedia.org/wiki/Kent,_Washington",area code,county,• land,• mayor,nan,• type,• water, ,47.3880,-122.2127,USA
214,Santa Clara,California,129488,116468,+11.18,18.4  ,47.7 ,6845 ,2643,"https://en.wikipedia.org/wiki/Santa_Clara,_California",area codes,county,• land,nan,nan,• type,• water, ,37.3646,-121.9679,USA
215,Elizabeth,New Jersey,128885,124969,+3.13,12.3  ,31.9 ,10459 ,4038,"https://en.wikipedia.org/wiki/Elizabeth,_New_Jersey",area code,county,• land,• mayor,nan,• type,• water, , 40.666, -74.1935,USA
216,Round Rock,Texas,128739,99887,+28.88,35.6  ,92.2 ,3396 ,1311,"https://en.wikipedia.org/wiki/Round_Rock,_Texas",area code,counties,• land,nan,nan,• type,• water, , 30.525, -97.6660,USA
217,Thousand Oaks,California,127690,126683,+0.79,55.2  ,143.0 ,2335 ,902,"https://en.wikipedia.org/wiki/Thousand_Oaks,_California",area code,county,• land,• mayor,nan,• type,• water, ,34.1933,-118.8742,USA
218,Lafayette,Louisiana,126143,120623,+4.58,53.8  ,139.3 ,2372 ,916,"https://en.wikipedia.org/wiki/Lafayette,_Louisiana",nan,nan,nan,nan,nan,nan,nan, , 30.207, -92.0285,USA
